ticker,sent_score,sent_weight,tech_score,tech_weight,foreign_score,foreign_weight,foreign_weight," 
result"
2330.TW,-1,0.3,0.205234,0.4,0.645776,0.3,-0.024174,neutral
2317.TW,-0.291313,0.3,0.149668,0.4,0.933172,0.3,0.252425,good
2454.TW,-0.921511,0.3,0.02397,0.4,-0.15634,0.3,-0.313767,bad
2382.TW,0.291313,0.3,-0.037766,0.4,0.073524,0.3,0.094345,neutral
2308.TW,-0.990707,0.3,0.133909,0.4,0.449629,0.3,-0.10876,neutral
2881.TW,-0.701093,0.3,0.130498,0.4,0.229161,0.3,-0.08938,neutral
2891.TW,-0.26458,0.3,0.177837,0.4,0.780669,0.3,0.225962,neutral
2882.TW,-0.428771,0.3,0.142215,0.4,0.056354,0.3,-0.054839,neutral
2303.TW,0.56898,0.3,-0.131889,0.4,-0.387057,0.3,0.001821,neutral
2412.TW,-0.918052,0.3,0.191677,0.4,0.606001,0.3,-0.016945,neutral
0050.TW,0.0,0.3,0.179049,0.35,0.006521,0.35,0.06495,neutral
